Date,Proximity to Station,Station,Item Burnt,Comments,Fire Severity
5/16/2005,N,104 St (Jamaica Av),DEBRIS,"DEBRIS FIRE, NO DAMAGE, AND TRACK IS SAFE FOR SERVICE.",1
5/16/2005,N,111 St (IRT Roosevelt Av),TIE,M/S COOK FOUND SCORCHED TIES 100 FEET SOUTH OF THE STATION ON MB TYRACK. THIS WILL BE TURNED OVER TO THE DAY FORCES FOR FOLLOW-UP INSPECTION .,1
5/17/2005,N,Parkside Av,DEBRIS,"PAPER FIRE EXTINGUISHED BY EMPLOYEE, NO DAMAGE. TRACK IS SAFE FOR SERVICE.",1
5/17/2005,N,111 St (IRT Roosevelt Av),DEBRIS,"DEBRIS FIRE 100' SOUTH OF THE BUMPER BLOCK EXTINGUISHED, NO DAMAGE.",1
5/17/2005,N,Broadway Jctn-(Fulton St BMT),DEBRIS,"DEBRIS FIRE EXTINGUISHED, NO DAMAGE.",1
5/17/2005,N,59 St-Columbus Circle (IRT),DEBRIS,"DEBRIS FIRE EXTINGUISHED, NO DAMAGE. SAFE FOR SERVICE.",1
5/18/2005,I,Junction Blvd,DEBRIS,,1
5/18/2005,I,Woodside-61St,DEBRIS,personnel checked and found evidence of a small fire,1
5/19/2005,N,E 180 St,DEBRIS,,1
5/19/2005,N,86 St (BMT W 7 St),TIE,,1
5/19/2005,I,125 St (IND St. Nicholas Av),DEBRIS,2044 M/S HARVEY(TRACK) REPORTS THERE WAS A SMALL PAPER BETWEEN THE GUARD RAIL. NO DAMAGE TOTHE TRACKS OR 3RD RAIL. SAFE FOR SERVICE,1
5/19/2005,S,Franklin Av (IRT),DEBRIS,1925 ERT/SPINOSA PASS # 848453 REORTS THERE WAS A SMALL TRACK FIRE . NO DAMAGES TO THE TRACKS OR 3RD RAIL SAFE FOR SERVICE,1
5/19/2005,I,176 St,TIE,M/S MERCHANT (TRO/N) EXTINGUISHED FIRE WITH LIQUID CHEMICLAL EXTINGUISHER.. ,1
5/20/2005,S,Beach 36 St,TIE,,1
5/21/2005,S,34 St-Penn Sta (IRT 7 Av),DEBRIS,THERE WAS  A DEBRIS FIRE IN THE FLANGEWAY OF THE GUARD RAIL. THERE IS NO DAMAGE.,1
5/21/2005,N,96 St (Broadway),DEBRIS,1640 ERT/JORDON REPORTS THERE WAS A SMALL PAPER FIRE UNDER THE GUARD. SELF EXTINGUISHING.NO DAMAGE TO THE TRACKS. SAFE FOR SERVICE,1
5/21/2005,I,Steinway St,DEBRIS,,1
5/21/2005,N,Joralemon Tube,INSULATOR,"2020 M/S PERSAD PASS # 694217(TRO/S) REPORTS THERE WAS A ARCING INSULATOR ON TRACK 3. DUE TO A WET AREA NEAR SIG # 821. THE INSULATOR WAS REPLACE AND WORKING AS DESIGN. SAFE FOR SERVICE.
",1
5/23/2005,I,42 St-Port Auth Bus Terminal,DEBRIS,"debris fire in papercatcher, no damage area is safe",1
5/24/2005,S,34 St-Herald Sq (IND),DEBRIS,"EVIDENCE OF AN EXTINGUISHED DEBRIS FIRE, NO DAMAGE. SAFE FOR SERVICE.",1
5/25/2005,N,7 Av (Flatbush Av),DEBRIS,,1
5/26/2005,S,Central Park N. (IRT 110 St),CABLE,"1800 HATWOOD TRO/N PASS NUMBER 373440 REPORTS EVIDENCE OF A FIRE. NO DAMGE TO THE 3RD RAIL SAFE FOR SERVICE
1934 M/S HARVEY REPORTS THE SAME. NO DAMGE TO THE TRACKS. SAFE FOR SERVICE",1
5/26/2005,N,World Trade Center,DEBRIS,"1803 M/S CRAWFORD ERT PASS NUMBER 184975 REPORTS NO DAMAGE TO THE TRACKS. SAFE FOR SERVICE
1843 TRO/S GASTON REPORTS NO DAMAGE TO THE 3RD RAIL SAFE FOR SERVICE",1
5/27/2005,S,39 Av,ELECTRICAL WIRE,"THE WIRE FOR A BANK OF LIGHT  USED FOR EXPOSED THIRD RAIL WAS SMOKING. IT WAS DISCONNECTED FROM THE THIRD RAIL BY A TSS ON THE SCENE. TRACK AND THIRD RAIL PERSONNEL CHECKED THE AREA, N O  DAMAGE FOUND.",1
5/28/2005,I,E 105 St,DEBRIS,"EVIDENCE OF AN EXTINGUISHED DEBRIS FIRE, NO DAMAGE. SAFE FOR SERVICE.",1
5/29/2005,N,59 St-Columbus Cir (IND),DEBRIS,,1
5/30/2005,S,Pelham Bay Pk,TIE,"FD PUT OUT 3 BURNING TIES, TRACK IS SAFE FOR SERVICE",1
5/30/2005,I,Elder Av,TIE,"SCORCHED TIE BLOCK, NO DAMAGE, AND TRACK IS SAFE FOR SERVICE.",1
5/30/2005,I,Jackson Hts-Roosevelt Av,DEBRIS,2 SMALL EXPLOSONS FROM THE TRAIN SHOE HITTING A 3 FOOT METAL PLANT STAND. NO DAMAGE AND THE TRACK IS SAFE FOR SERVICE.,1
5/30/2005,I,Dyckman St (IRT),TIE,"SCORCHED TIES AND GUARD TIMBERS, NO DAMAGE AND TRACK IS SAFE FOR SERVICE.",1
5/30/2005,I,104 St (Jamaica Av),DEBRIS,"there was evidence of a debris fire at the northend of the station  on tk-j1, near signal 541 ",1
5/30/2005,N,Hunters Pt Av,TIE,BURNT TIE. ,1
5/30/2005,S,Court Sq (IRT),TIE,,1
5/31/2005,S,137-City Collge,DEBRIS,,1
5/31/2005,N,Queensboro Plaza,DEBRIS,,1
5/31/2005,S,138 St (IRT Grand Concourse),CABLE,"GROUNDED 1/2 MIL. CABLE DAMAGED, WILL BE REPLACED BY THE NIGHT TOUR.",2
5/31/2005,N,Dyckman St (IRT),TIE,"EVIDENCE OF AN EXTINGUISHED SCORCHED TIE, NO 3RD. RAIL EQUIPMENT DAMAGE.",1
6/1/2005,I,Burnside Av,TIE,FIRE WAS EXTINGUISHED UPON ARRIVAL. THERE IS DAMAGED WALK TIE AND FIBERGLASS WALKWAY. TRACK IS SAFE OR SERVICE.,1
6/1/2005,I,219 St,CABLE,"CONTRACTOR SLING CAME IN CONTACT WITH THE THIRD RAIL CAUSING EXPLOSION FIRE, EXTINGUISHED BY CPM",1
6/1/2005,I,Dyckman St (IRT),TIE,"SCORCHED TIES, NO DAMAGE, AND AREA SAFE FOR SERVICE.",1
6/1/2005,S,Jackson Av,TIE,"SMALL DEBRIS FIRE FOUND 43 FEET S/O SIG 2324 ON TK2, TIE BURNING EVIDENCE FOUND. EXTINGUISHED BY FD WITH WATER NO TRACK DAMAGE TRACK IS SAFE FOR SERVICE.",1
6/1/2005,S,79 St (IRT Broadway),DEBRIS,,1
6/1/2005,S,74 St-Broadway,TIE,,1
6/1/2005,S,135 St (IRT Lenox Av),LIGHTING TAP,,2
6/2/2005,S,137-City Collge,DEBRIS,"DEBRIS FIRE PUT OUT BY A TSS, NO DAMAGE AND THE AREA IS SAFE FOR SERVICE.",1
6/3/2005,N,Euclid Av,DEBRIS,M/S DIXON (TK) REPORTS THAT ALUMINIUM CAN TOUCHED A TRAIN SHOE CAUSING A SLIGHT EXPLOSION. SETTING DEBRIS AT THE LOCATION ON FIRE. COL. 4+90 ON TK 1.,1
6/3/2005,S,Grant Av,TIE,"SUPT. BARNES (TK) REPORTS THAT THERE IS EVIDENCE OF FIRE ON GUARD TIMBER AND 3 SCORTCHED TIES, SAFE FOR SERVICE, NO DAMAGE TO THIRD RAIL EQUIPMENT.",1
6/3/2005,N,Forest Hills-71 Av,DEBRIS,"DEBRIS FIRE EXTINGUISHED BY FD 459, NO DAMAGE. SAFE FOR SERVICE.",1
6/4/2005,N,Grand Av / Newtown,INSULATOR,"BURNING INSULATOR ON D1 TRACK M,ARKER 1449+05 EXTINGUISHED BY A TSS  USING CHEMICAL , ALSO POWER WAS REMOVED. THERE IS NO DAMAGE. THE INSULATOR WAS REMOVED AND WILL BE REPLACED AT A LATER TIME.",1
6/4/2005,S,Jackson Hts-Roosevelt Av,INSULATOR,BURNING INSULATOR REMOVED BY TSS. THERE IS NO DAMAGE TO TRACK OR THIRD RAIL EQUIPMENT.,1
6/5/2005,I,Beach 25 St,DEBRIS,DEBRIS FIRE HAS BEEN EXTINGUISHED WITH WATER AT THE N/E OF THE STATION COLUMN 911+85. NO DAMAGE TO TRACK EQUIPMENT.,1
6/6/2005,S,Jefferson St,INSULATOR,ARCING INSULATOR ON FIRE DUE TO WATER DRIPPING FROM OVERHEAD VENTS. MOW NOTIFIED STATION COMMAND.,1
6/6/2005,S,Kingston-Throop Av,DEBRIS,2254 M/S FREDRICK REPORTS NO DAMAGE TO THE TRACKS. SAFE FOR SERVICE,1
6/7/2005,N,Beach 60 St,DEBRIS,"EVIDENCE OF AN EXTINGUISHED DEBRIS FIRE , NO DAMAGE. SAFE FOR SERVICE.",1
6/8/2005,S,Euclid Av,DEBRIS,"DEBRIS FIRE SLIGHTLY SINGED SOME 3RD RAIL CABLES, TRACK IS SAFE FOR SERVICE",1
6/8/2005,N,215 St,TIE,"M/S HARVEY (TK), PASS #371524, FOUND AT STREET COL #104 A BADLY BURNT ELEVATION BLOCK ON THE THIRD RAIL SIDE ON A STONE TIE. WILL REFER TO T3 FOR FOLLOW UP.",2
6/8/2005,S,137-City Collge,DEBRIS,"M/S HARVEY (TK) #371524 INVESTIGATED AND FOUND ON B1 TRACK AT COL #101+30, EVIDENCE OF A DEBRIS FIRE IN THE FLANGEWAY ON THE THIRD RAIL SIDE. A CHEMICAL EXTINGUISHER WAS USED TO PUT OUT THE FIRE BY AN UNKNOWN PERSON. THERE WAS NO TRACK DAMAGE. TRACKS ARE ",1
6/8/2005,S,5 Av / 59 St,DEBRIS,"ERT MC CABE #573816 FOUND BETWEEN COL #13+95 AND 13+75, TWO PVC PIPES ABOUT 15 TO 20 FT IN LENGHT HAD CAUGHT FIRE BEHIND THE THIRD RAIL. FD PUT OUT THE FIRE WITH A CHEMICAL EXTINGUISHER AND ERT PERSONNEL PLACED REMAINING DEBRIS IN THE TROUGH. THERE WAS NO",1
6/8/2005,N,Queensboro Plaza,SLATTING/WALKWAY,"M/S COOK FOUND AT 50 FEET SOUTH OF SIG G2 128 X 4, 18 INCHES OF BURNT FIBERGLASS WALKWAY IN THE TROUGH. THIS WAS CAUSED BY BURNING DEBRIS IN A BASKET AND THE CROSSBEAM.",2
6/9/2005,N,36 St (Northern Blvd),INSULATOR,ARCING INSULATOR.,1
6/10/2005,S,Chambers St (IND Church St),DEBRIS,"EVIDENCE OF AN EXTINGUISHED DEBRIS FIRE, NO DAMAGE TO TRACK OR 3RD. RAIL EQUIPMENT.",1
6/11/2005,N,215 St,EQUIPMENT,BURNING GUARD TIMBER EXTINGUISHERD BY F/D TRACK SAFE,1
6/11/2005,N,82-Jackson Hts,TIE,BURNING STONE TIE EXTINGUISHED BY F/D TRACK SAFE,1
6/11/2005,S,79 St (IRT Broadway),DEBRIS,"DEBRIS FIRE EXTINGUISHED, NO TRACK DAMAGE. SAFE FOR SERVICE.",1
6/11/2005,I,42 St-Bryant Pk (BMT 6 Av),INSULATOR,"M/S LOLIER (TRO/N) REPLACED ARCING INSULATOR ON TK B2, COL. 1053+25. NO DAMAGE TO TRACK, SAFE FOR SERVICE.",1
6/12/2005,N,Queens Plaza,INSULATOR,,1
6/12/2005,S,Woodhaven Blvd (Queens Blvd),INSULATOR,SMOKE CONDITION REPORTED IN THE STATION BY A TRAIN OPERATOR. MOW PERSONNEL FOUND ALUMINUM CONTAINER BRIDGING 3RD RAIL AND BRACKET CAUSED THE ARCING AND SMOKE AND REMOVED CONTAINER.  NO DAMAGE TO EQUIPMENT.,1
6/12/2005,I,Pennsylvania Av,CABLE,,1
6/12/2005,S,Steinway St,INSULATOR,TRAIN OP REPORTS INSULATOR BURNING.  WET AREA CAUSED ARCING INSULATOR WHICH WAS REMOVED AND REPLACED BY MOW 3RD RAIL. MOW NFRASTRUCTURE NOTIFIED OF WET AREA.,1
6/14/2005,N,181 St (IND Fort Wash. Av),INSULATOR,,1
6/14/2005,S,14 St (IRT 7 Av),ELECTRICAL WIRE,"T/I RIBEIRO WALKED 400' ON TK 1, COL. 88+79. THERE IS EVIDENCE OF BANK OF LIGHT FIRE, NO DAMAGE TO TRACK, SAFE FOR SERVICE.",1
6/14/2005,S,Jackson Hts-Roosevelt Av,DEBRIS,,1
6/14/2005,N,Prospect Park,INSULATOR,,1
6/15/2005,S,5 Av / 53 St,LIGHTING TAP,TSS ON SCENE REPORTS FIRE SELF EXTINGUISHED..,1
6/15/2005,N,7 Av (53 St),INSULATOR,"ARCING INSULATOR DUE TO WATER CONDITION, INSULATOR REPLACED. WATER DRIPPING FORM OVERHEAD DRAIN, MOW NOTIFIED INFRASTRUCTURE (W4).",1
6/15/2005,N,Jamaica Center-Parsons/Archer,DEBRIS,,1
6/15/2005,S,Prospect Park,DEBRIS,"TRACK INSP.PUT OUT A DEBRIS FIRE, NO DAMAGE, AND AREA SAFE FOR SERVICE.",1
6/15/2005,N,169 St,DEBRIS,,1
6/15/2005,N,Dyckman St (IND),DEBRIS,,1
6/15/2005,N,Jackson Hts-Roosevelt Av,DEBRIS,,1
6/16/2005,S,Court Sq (IRT),EQUIPMENT,BURNT GUARD TIMBER CAUSED BY THIRD RAIL ARCING TRACK SAFE FOR SERVICE,1
6/17/2005,S,96 St (Broadway),DEBRIS,"TSS EXTINGUISHED WITH WATER A RAG THAT WAS BURNING AT COLUMN 334+05,TRACK #1 SOUTH OF THE STATION. THERE IS NO DAMAGE TO TRACK EQUIPMENT.",1
6/17/2005,S,40 St,TIE,TRACK REPORTS 250 FEET S/O STATION EVIDENCE OF A WALK TIE BURNT. TRACKS SAFE FOR SDERVICE. ,1
6/17/2005,N,Dekalb Av (Flatbush),CABLE,PERSONNEL FOUND ONE POSITIVE CABLE COMPLETELY OFF. THIS CAUSED THE CABLE TO RUN HOT AND EVENTUALLY BURN. THIS AN ONGOING PROBLEM OF VANDALISM WHERE CABLES ARE STOLEN REGULARLY.,1
6/19/2005,I,Clark St,DEBRIS,"SMALL DEBRIS FIRE, NO DAMAGE, AND TRACK IS SAFE FOR SERVICE. ",1
6/19/2005,I,Jackson Hts-Roosevelt Av,DEBRIS,"SMALL DEBRIS FIRE, NO DAMAGE, AND TRACK IS SAFE FOR SERVICE. ",1
6/20/2005,I,145 St (IND St. Nicholas Av),DEBRIS,,1
6/21/2005,I,Livonia Av,DEBRIS,"FIRE DEPT EXTINGUISHED DEBRIS FIRE, TRACK IS SAFE.",1
6/21/2005,N,Junius St,TIE,"BURNING WAK TIEEXTINGUISHED BY TRK/INSP USING WATER. TRACK IS SAFE, WALKTIE WILL BE REPLACED IN FUTURE",1
6/21/2005,S,111 St (IRT Roosevelt Av),TIE,"SIG/MTR EXTINGUISHED A ROTTED TIE ON FIRE ON THE MB LEAD 50' SOUTH OF SIG.X632, WILL BE REFERRED TO THE DAY TOUR FOR REPAIRS. ",1
6/21/2005,S,Sutter Av-Rutland Rd,SLATTING/WALKWAY,"FD EXTINGUISHED SLATTING AT STREET COL.#8, FIELD OFFICE WAS NOTIFIED TO MAKE REPAIRS.",1
6/21/2005,I,Inwood-207 St (IND),DEBRIS,"DEBRIS FIRE EXTINGUISHED BY EMPLOYEE, NO DAMAGE. SAFE FOR SERVICE.",1
6/22/2005,S,33 St (Queens Blvd),PROTECTION BOARD,FIRE WAS EXT. BY FDNY,2
6/23/2005,S,125 St (IND St. Nicholas Av),DEBRIS,"DEBRIS FIRE EXTINGUISHED BY TSS, NO DAMAGE. SAFE FOR SERVICE.",1
6/23/2005,I,Bedford Pk Blvd (IND Grnd Con),DEBRIS,,1
6/24/2005,I,Ave I,SLATTING/WALKWAY,"EVIDENCE OF OLD SLATTING BURNT IN THRU WAY,80' S/O SIGNAL # 494",1
6/25/2005,S,Beverly Rd (BMT E 16 St),VEGETATION,LEAF FIRE EXT. WITH WATER.,1
6/25/2005,I,Beach 36 St,TIE,"1608 M/S SOUTHWOOD REPORTS THERE WAS A TIE BURNING ON  TRACK F3A COL NUMBER 893+95. NO DAMAGE TO THE TRACKS. SAFE FOR SERVICE.
1610 PDM HEREDIA REPORTS NO DAMAGE TO THE 3RD RAIL. SAFE FOR SERVICE",1
6/25/2005,S,Queensboro Plaza,INSULATOR,1542 M/S2 BURNS REPORT THAT THE ARCING INSULATOR WAS DUE TO A LOW CONTACT RAIL. A HIGHER INSULATOR WILL BE RELACE PERMANENT,1
6/25/2005,I,Ave U (BMT W 8 St),TIE,2033 M/S LYNN (TRACK) PASS  # 543710 REPORTS THERE WAS A SMALL FIRE UNDER TIE. THE TRACK PLATE WAS REMOVED BY M/SLYNN WHO EXT. THE TIE FIRE. WITH WATER. TRACK PLATE WAS RETURN. NO DAMAGE TO THE THE TRACKS. SAFE FOR SERVICE.  ON E2 TRACK. COL. NUMBER 737+3,1
6/25/2005,S,East Broadway,INSULATOR,2200 ERT/LAPORTE(TRACK) REPORTS THER WAS A  ARCING INSULATOR DUE TO A WET AREA ON TRACK B2 COL NUMBER 866+65. INSULATOR WAS REPLACE. SAFE FOR SERVICE. NO DAMAGE TO THE TRACKS,1
6/25/2005,S,Junius St,DEBRIS,"2149 ERT SPINOSA(TRACK) REPORTS THERE WAS A PAPER DEBRIS FIRE IN THE TRACK BASKET UNDER A JOINT AT COL. NUMBER 410+80. ON THE WEST FREE SIDE. NO DAMAGE TO THE TRACKS, SAFE FOR SERVICE",1
6/26/2005,S,183 St,TIE,,2
6/26/2005,N,111 St (IRT Roosevelt Av),TIE,,2
6/27/2005,N,3 Av-138 St,INSULATOR,"M/S ANDERSON (TRO/N) REMOVED, CLEANED AND REINSTALLED 1 FIBERGLASS INSULATOR ON TK 3, COL. 288+70.",1
6/27/2005,N,Fulton St (IND Lower Level),DEBRIS,TRACK FIRE EXT. BY FDNY.,1
6/27/2005,N,Lexington Av / 59 St (BMT),INSULATOR,"M/S CAMP INSTALLED 1 INSULATOR  AND CLEANED THE AREA.,SAFE FOR SERVICE.",1
6/28/2005,I,34 St-Herald Sq (BMT),INSULATOR,"3RD RAIL PERSONNEL REPLACED 2 BURNING INSULATORS, NO TRACK DAMAGE, AND AREA SAFE FOR SERVICE.",1
6/28/2005,I,75-Elderts Lane,EQUIPMENT,"BURNING BANK OF LIGHTS PUT OUT BY FD, NO DAMAGE TO TRACK OR 3RD RAIL EQUIPMENT AND AREA IS SAFE FOR SERVICE",1
6/28/2005,S,Times Sq-42 St (BMT),INSULATOR,BURNING INSULATOR SLIGHTLY DAMAGED AND TRACK IS SAFE FOR SERVICE ,1
6/28/2005,I,Fulton St (IND Lower Level),DEBRIS,FIRE IN THE PAPER CATCHER BURNT ITSELF OUT NO DAMAGE AND TRACK IS SAFE FOR SERVICE.,1
6/29/2005,N,Atlantic Av,DEBRIS,DEBRIS FIERE IN THE FLANGEWAY EXTINGUISHED BY THE RCI USING WATER. NO TRACK DAMAGE,1
6/29/2005,S,Jackson Hts-Roosevelt Av,INSULATOR,,2
6/30/2005,N,Inwood-207 St (IND),INSULATOR,"M/S MUSCHITELLO (TRO/N) REPORTS THISWAS DUE TO THE A/C CONDENSOR DRIPPING ONTO INSULATOR. THE INSULATOR HAS BEEN REPLACED, TRACK IS SAFE FOR SERVICE.",1
6/30/2005,N,96 St (Broadway),INSULATOR,INSULATOR CAN NOT BE REPLACED UNTIL SHIMS ARE REPLACED. CONDITION DUE TO WATER DRIPPING FROM THE CEILING. INFRASTRUCTURE PERSONNEL NOTIFIED AND ARE EN ROUTE. TRACK IS SAFE FOR SERVICE.,2
6/30/2005,I,Washingtn Hts-168 St(Brdwy),DEBRIS,"F/D EXTINGUISHED DEBRIS FIRE UNDER THE CONTACT RAIL TRACK SAFE, NO DAMAGE",1
7/1/2005,S,42 St-Bryant Pk (BMT 6 Av),DEBRIS,AN UNKOWN EMPLOYEE EXTINGUISHED  A DEBRIS FIRE. AT THE S/E OF THE STATION B2 TRACK. THERE IS NO DAMAGE. TRACK IS SAFE FOR SERVICE.,1
7/2/2005,N,W 4 St (IND Wash Sq),DEBRIS,"FIRE EXTINGUISHED BY FD , NO DAMAGE SAFE FOR SERVICE.",1
7/2/2005,I,Kew Gardens-Union Tpke,DEBRIS,"tss perez found and extinquished fire on d1 track col. # 1615+70,track department found evidence of fire extinquished by using water.",1
7/2/2005,S,Spring St (IND 6 Av.),DEBRIS,,1
7/4/2005,I,183 St,DEBRIS,FIRE IN A BASKET. THE FIRE WAS EXTINGUISHED AND THERE IS NO DAMAGE TO THE TRACK.,1
7/4/2005,S,111 St (IRT Roosevelt Av),TIE,THE 0647 # 7 O/O TIMES SQ REPORTED A FIRE . FD 498 NOTIFIED THE FIRE WAS EXTINGUISED BY A TSS FIRE WAS INSIDE OF A TIE. T/I FOUND THE TIES THAT WERE BURNING AND RECOMMENED THAT ONE TIE BE REPLACED TRACK IS SAFE FOR SERVICE. ,1
7/4/2005,S,219 St,TIE,T/I FOUND EVIDENCE OF SMOLDERING TIE BY COL #280,1
7/4/2005,N,Kings Hwy (BMT W8 St),TIE,"M/S MILBOUER EXTINQUISHED BOTH FIRES USING PORTABLE EXTINQUISHER25' S/O SIG#733 A BURNT 8'X6' TIE NEEDS REPLACEMENT WILL REFER TO DAYS .  60 S/O FIRST FIRE BY SIG #729X460 ANOTHER FIRE  WAS STARTED AND EXTINQUISHED. 
2004M/S COOK REPORTS A BURNT ROTTED T",1
7/4/2005,S,New Lots Av (IRT Livonia Av),TIE,"T/I SMALLWOOD WALKED 300' S/O X336, THERE WAS SIGNS OF TIES STORED IN YARD THAT CAUGHT ON FIRE, FIRE WAS EXTINGUISHED, NO TRACK DAMAGE, SAFE FOR SERVICE.",1
7/5/2005,S,Fordham Rd (IND Grand Conc.),INSULATOR,"BURNING TIE AND SMOKING INSULATOR, EXTINGUISHED BY EMPLOYEE.",1
7/6/2005,S,Park Place (Manhattan Brdwy),DEBRIS,DEBRIS FIRE EXTINGUISHED. THERE IS NO DAMAGE.,1
7/6/2005,N,42 St-Port Auth Bus Terminal,DEBRIS,"SMALL DEBRIS FIRE, NO TRACK DAMAGE, AND AREA IS SAFE FOR SERVICE.",1
7/7/2005,S,167 St (IND Grand Concourse),DEBRIS,M/S ARONAS (TRO): REMOVED A SWEATER FROM UNDER THE  THIRD RAIL. ,1
7/7/2005,S,34 St-Herald Sq (BMT),DEBRIS,1626 LAPORTE (TK) #503636 REPORTS TSS GATLAND #307589 PUT THE FIRE OUT WITH WATER ON 1 TRACK BY COL# 75+70.  FD 280 WAS NOTIFIED.  TRACK SAFE FOR SERVICE RTO WAS NOTIFIED.,1
7/7/2005,S,Crown Heights-Utica Av (IRT),DEBRIS,THE TRAIN/OP ABOARD THE 1556 O/O UTICA REPORTS EXTINGUISHING A PAPER FIRE WITH WATER S/O THE STATION ON M TRACK.  FD 860 WAS NOTIFIED.,1
7/8/2005,N,Forest Hills-71 Av,DEBRIS,SELF EXTINGUISHED DEBRIS FIRE.,1
7/8/2005,N,5 Av / 59 St,DEBRIS,DEBRIS FIRE EXTINGUISHED.,1
7/8/2005,S,149 St-Grand Conc (Mott Haven),LARGE OBJECT DEBRIS,UMBRELLA ON 3RAIL REMOVED BY TSS.,1
7/9/2005,I,Houston St,DEBRIS,,1
7/9/2005,I,174-175 St (IND),DEBRIS,"TRAIN OPERATOR ON 1827 O/O BED PK REPORTS UMBRELLA DRAGGED BY TRAIN APPARENTLY CAUSED ARCING AND FIRE TO UMBRELLA. SELF EXTINGUISHED, MOW CONFIRMED SAME, NO TRACK DAMAGE.",1
7/10/2005,N,82-Jackson Hts,TIE,,1
7/10/2005,N,Coney Island-Stillwell Av,LIGHTING TAP,"FIRE REPORTED BY 1741 O/O STILLWELL, TSS CANON EXTIGUISHED FIRE, MOW REPORTS A LAMP BANK BURNT.",1
7/11/2005,I,Astoria-Ditmars Blvd,DEBRIS,newspaper debris fire extinguished by tss using portable extinguisher at col #840 and signal #247 track safe,1
7/11/2005,N,Queensboro Plaza,TIE,,1
7/11/2005,N,Queensboro Plaza,TIE,"1727 W/DITMARS REPORTS TRACK TIE BURNING, MOW CONFIRMED SECTION OF GUARD TIMBER BURNT 50 FT N/O SIGNAL G1-134, F.D WAS ON THE SCENE EXTINGUISHING THE FIRE ALSO OTHER THAN TRACK PERSONNEL EXTINGUISHING FIRE FROM TRACK LEVEL. WILL REPLACE TIMBER LATER DATE,",1
7/11/2005,S,Lexington Av / 59 St (BMT),DEBRIS,"1930 N/DITMARS REPORT TK FIRE, TSS GATLING FOUND BURNT UMBRELLA SELF EXTIGUISHED, MOW CONFIRMED UMBRELLA BURNT 30 N/O SIGNAL 32, NO TRACK DAMAGE.",1
7/11/2005,S,Lexington Av / 59 St (BMT),GREASE,"1948 W/AST REPORTS TK FIRE, FD EXTINGUISHED PAPER/GREASE FIRE IN FLANGEWAY OF RAIL, MOW CONFIRMS, NO DAMAGE.",1
7/12/2005,I,Bedford Pk Blvd (IND Grnd Con),INSULATOR,"M/S ARONAS (TRO/N) REPORTED INSULATOR WAS GROUNDED TO THE BRACKET, CAUSING A SMOKE CONDITION, REMOVE AND CLEANED AT COL.. 1622+40 - TK C1.",1
7/12/2005,N,14 St-Union Sq (BMT Upper Lev),DEBRIS,,1
7/12/2005,N,Queensboro Plaza,DEBRIS,debris fire extinguished by tss using a portable extinguisher,1
7/12/2005,N,Elmhurst Av,DEBRIS,,1
7/12/2005,S,81 St-Mus Nat Hist,DEBRIS,,1
7/13/2005,I,Lexington Av / 59 St (BMT),DEBRIS,1216 W/DITMARS REPORTS TRACK FIRE. DEBRIS FIRE S/E OF THE STATION EXTIGUISHED BY FIRE DEPT. MOW CONFIRMS DEBRIS FIRE IN TROUGH CHARRED BOTTOM OF 9 TIES FROM COL#34+50 TO 34+65. THE AREA REPORTED TO BE SAFE FOR SERVICE. SUPT MELENDEZ (TK) WAS ON THE SCENE.,1
7/13/2005,N,Parsons Blvd,DEBRIS,"1507 F/STILLWELL REPORTS TK FIRE, SIGNAL MTRS AND TSS ON THE SCENE EXTINGUISHED DEBRIS FIRE UNDER THE 3RD RAIL. MOW CONFIRMED AND CLEANED UNDER RAIL. NO DAMAGE.",1
7/14/2005,N,82-Jackson Hts,DEBRIS,DEBRIS FIRE PREVIOUSLY EXTINGUISHED WITH WATER ADJACENT TO SIGNAL 3434C ON TK M. THERE IS NO DAMAGE.,1
7/14/2005,I,Ralph Av,DEBRIS,"METAL SHARDS UNDER THE 3RD RAIL CAUSED AN ARCING CONDITION, THEY HAVE BEEN REMOVED AND THE TRACK IS SAFE FOR SERVICE",1
7/14/2005,I,Whitlock Av,DEBRIS,M/S HARVEY : A PAPER FIRE WAS EXTINGUISHED WITH CHEMICAL AT STREET COL#'S 14 AND 15. TRACK SAFE FOR SERVICE,1
7/15/2005,S,18 St,EQUIPMENT,MAINTAINERS FROM STATION LIGHTING JOHN AND MATTHEW RESPONDED AND RESET FEED AND SECURED WIRE ALSON REPLACED LAMPS.,1
7/15/2005,N,111 St (IRT Roosevelt Av),TIE,"FOUND EVIDENCE OF A TIE BURNT ON THE EAST SIDE BY THE 3RD.RAIL ,ON (A)YARD  LEED 30' N/O SIG#624. TRACKS ARE SAFE FOR SERVICE.",1
7/16/2005,S,Montague Tube,INSULATOR,"M/S FOSTER (TRO/S) REPORT'S THAT ON TK B-1 COL#282+80, REPLACED 1 FIBERGLASS INSULATOR.",1
7/17/2005,N,Grand Av / Newtown,DEBRIS,"T/I GONZALES (TK) FOUND EVIDENCE OF A DEBRIS FIRE AT COL#1466+85 ON TRACK D-1 THAT WAS EXTINGUISHED BY THE FIRE DEPT. NO DAMAGE WAS FOUND, TRACK IS SAFE FOR SERVICE.",1
7/17/2005,I,Lexington Av / 53 St (IND),INSULATOR,,1
7/17/2005,I,149 St-Grand Conc (Mott Haven),INSULATOR,ARCING INSULATOR REPLACED AND TRACK IS SAFE FOR SERVICE.,1
